policyholder_id,age,policy_age_group,gender,marital_status,employment_status,region,monthly_income_usd,dependents_count,plan_type,payment_frequency,acquisition_channel,tenure_months,monthly_premium_usd,billing_amount_usd,premium_to_income_ratio,payment_delay_days_avg,missed_payments_last_12m,late_payments_last_12m,customer_service_calls_last_6m,complaints_last_12m,policy_changes_last_12m,claims_last_24m,mobile_app_usage_score,sms_engagement_rate,retention_offer_received,churn_probability_proxy,churn
PH100000,47,46-60,Male,Married,Self Employed,Matabeleland South,332.58,4,Basic,Monthly,Mobile App,51,9.01,9.01,0.0271,14,2,2,3,1,1,0,77,0.434,0,0.11,0
PH100001,39,36-45,Male,Single,Self Employed,Bulawayo,714.27,3,Family,Quarterly,Agent,53,22.27,62.36,0.0312,0,1,2,1,1,0,0,56,0.823,0,0.05,0
PH100002,49,46-60,Male,Widowed,Informal Trader,Masvingo,480.81,1,Premium,Monthly,Branch,96,17.73,17.73,0.0369,27,4,2,2,1,0,0,72,0.687,0,0.124,0
PH100003,59,46-60,Male,Married,Self Employed,Matabeleland North,224.01,3,Basic,Monthly,Mobile App,20,7.75,7.75,0.0346,39,3,6,1,1,0,0,66,0.459,0,0.439,0
PH100004,38,36-45,Male,Married,Formally Employed,Manicaland,687.91,1,Basic,Monthly,Agent,21,6.49,6.49,0.0094,6,3,3,0,0,0,0,36,0.386,1,0.067,0
PH100005,38,36-45,Female,Single,Informal Trader,Mashonaland West,233.99,5,Family,Monthly,Mobile App,29,25.07,25.07,0.1071,10,2,0,1,0,1,0,45,0.728,1,0.078,0
PH100006,60,46-60,Female,Married,Unemployed,Midlands,128.7,0,Basic,Monthly,Branch,43,10.02,10.02,0.0779,25,2,4,2,0,0,0,51,0.227,0,0.243,0
PH100007,50,46-60,Female,Widowed,Informal Trader,Mashonaland East,334.34,3,Family,Monthly,Branch,108,23.28,23.28,0.0696,0,0,2,2,2,0,0,44,0.646,1,0.023,0
PH100008,35,26-35,Male,Married,Self Employed,Mashonaland West,550.44,1,Family,Monthly,Referral,18,25.74,25.74,0.0468,38,5,7,1,0,0,0,32,0.708,1,0.167,0
PH100009,48,46-60,Male,Divorced,Informal Trader,Harare,163.46,5,Family,Monthly,Website,31,25.36,25.36,0.1551,29,2,4,1,0,0,0,85,0.467,0,0.203,0
PH100010,35,26-35,Male,Divorced,Self Employed,Mashonaland East,752.2,5,Premium,Monthly,Agent,30,18.42,18.42,0.0245,0,2,0,1,1,1,0,67,0.468,1,0.033,0
PH100011,35,26-35,Female,Single,Formally Employed,Midlands,500.31,0,Standard,Biannual,Branch,58,13.31,71.87,0.0266,0,2,0,1,1,1,0,46,0.251,0,0.064,0
PH100012,44,36-45,Female,Single,Informal Trader,Midlands,45.0,1,Basic,Monthly,Branch,22,5.01,5.01,0.1113,0,2,0,2,0,0,0,30,0.385,0,0.086,0
PH100013,18,18-25,Female,Widowed,Formally Employed,Mashonaland East,402.87,3,Premium,Monthly,Agent,34,18.59,18.59,0.0461,0,0,2,1,1,0,1,51,0.918,0,0.027,0
PH100014,20,18-25,Male,Married,Formally Employed,Masvingo,830.79,3,Standard,Monthly,Website,74,13.28,13.28,0.016,15,5,2,2,0,0,0,20,0.172,0,0.123,0
PH100015,34,26-35,Female,Single,Unemployed,Mashonaland West,84.52,5,Standard,Quarterly,Agent,41,11.1,31.08,0.1313,0,3,4,5,0,1,0,66,0.589,1,0.158,0
PH100016,29,26-35,Male,Single,Formally Employed,Harare,862.13,5,Basic,Monthly,Agent,38,5.26,5.26,0.0061,12,2,3,3,1,1,0,44,0.272,0,0.19,0
PH100017,45,36-45,Female,Married,Farmer,Matabeleland North,232.39,2,Basic,Monthly,Agent,81,6.24,6.24,0.0269,22,0,5,1,1,0,0,42,0.681,1,0.076,0
PH100018,30,26-35,Female,Married,Informal Trader,Midlands,249.51,1,Basic,Monthly,Agent,24,6.42,6.42,0.0257,18,3,4,1,0,0,1,84,0.636,0,0.043,0
PH100019,24,18-25,Female,Single,Farmer,Mashonaland West,115.1,2,Family,Annual,Agent,66,24.28,242.8,0.2109,19,3,3,1,1,0,0,42,0.561,1,0.104,0
PH100020,59,46-60,Female,Single,Formally Employed,Midlands,561.05,1,Standard,Biannual,Branch,61,11.98,64.69,0.0214,16,0,6,1,0,0,0,95,0.346,0,0.052,0
PH100021,38,36-45,Male,Divorced,Informal Trader,Manicaland,210.73,2,Basic,Monthly,Branch,27,6.71,6.71,0.0318,20,2,1,2,0,1,0,31,0.773,0,0.101,0
